session,list,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_pretrain,picture_file
Pretrain,list4,1,Zweig_gruen,Zweig,gruen,65,HFP,SP,cblock,nature,Zweig_gruen,zweig_gruen.png
Pretrain,list4,2,Frau_rot,Frau,rot,23,LFP,SP,cblock,human,Frau_rot,frau_rot.png
Pretrain,list4,3,Ei_weiss,Ei,weiss,16,HFP,SN,cblock,food,Ei_weiss,ei_weiss.png
Pretrain,list4,4,Dach_weiss,Dach,weiss,15,LFP,SP,cblock,building,Dach_weiss,dach_weiss.png
Pretrain,list4,5,Wolke_schwarz,Wolke,schwarz,60,HFP,SP,cblock,nature,Wolke_schwarz,wolke_schwarz.png
Pretrain,list4,6,Schuh_weiss,Schuh,weiss,50,LFP,SN,cblock,clothing,Schuh_weiss,schuh_weiss.png
Pretrain,list4,7,Mann_weiss,Mann,weiss,38,HFP,SP,cblock,human,Mann_weiss,mann_weiss.png
Pretrain,list4,8,Haus_schwarz,Haus,schwarz,26,LFP,SN,cblock,building,Haus_schwarz,haus_schwarz.png
Pretrain,list4,9,Tomate_gruen,Tomate,gruen,55,HFP,SN,cblock,vegetable,Tomate_gruen,tomate_gruen.png
Pretrain,list4,10,Baum_schwarz,Baum,schwarz,3,LFP,SP,cblock,nature,Baum_schwarz,baum_schwarz.png
Pretrain,list4,11,Ball_rot,Ball,rot,2,HFP,SN,cblock,tool,Ball_rot,ball_rot.png
Pretrain,list4,12,Erde_rot,Erde,rot,17,HFP,SP,cblock,nature,Erde_rot,erde_rot.png
Pretrain,list4,13,Bild_gruen,Bild,gruen,5,LFP,SP,cblock,furniture,Bild_gruen,bild_gruen.png
Pretrain,list4,14,Rock_schwarz,Rock,schwarz,47,HFP,SN,cblock,clothing,Rock_schwarz,rock_schwarz.png
Pretrain,list4,15,Stadion_gruen,Stadion,gruen,51,LFP,SN,cblock,building,Stadion_gruen,stadion_gruen.png
Pretrain,list4,16,Blume_rot,Blume,rot,7,HFP,SP,cblock,nature,Blume_rot,blume_rot.png
Pretrain,list4,17,Lampe_rot,Lampe,rot,37,HFP,SN,cblock,furniture,Lampe_rot,lampe_rot.png
Pretrain,list4,18,Glas_rot,Glas,rot,25,LFP,SP,cblock,tool,Glas_rot,glas_rot.png
Pretrain,list4,19,Buch_gruen,Buch,gruen,12,LFP,SN,cblock,etc,Buch_gruen,buch_gruen.png
Pretrain,list4,20,Rose_weiss,Rose,weiss,48,HFP,SP,cblock,nature,Rose_weiss,rose_weiss.png
Pretrain,list4,21,Kirche_rot,Kirche,rot,34,LFP,SN,cblock,building,Kirche_rot,kirche_rot.png
Pretrain,list4,22,Pflanze_gruen,Pflanze,gruen,45,HFP,SP,cblock,nature,Pflanze_gruen,pflanze_gruen.png
Pretrain,list4,23,Zwiebel_rot,Zwiebel,rot,66,HFP,SN,cblock,vegetable,Zwiebel_rot,zwiebel_rot.png
Pretrain,list4,24,Blatt_schwarz,Blatt,schwarz,6,LFP,SN,cblock,nature,Blatt_schwarz,blatt_schwarz.png
Pretrain,list4,25,Tuer_schwarz,Tuer,schwarz,57,LFP,SP,cblock,building,Tuer_schwarz,tuer_schwarz.png
Pretrain,list4,26,Teppich_rot,Teppich,rot,53,HFP,SN,cblock,furniture,Teppich_rot,teppich_rot.png
Pretrain,list4,27,Pfeil_gruen,Pfeil,gruen,44,HFP,SN,cblock,etc,Pfeil_gruen,pfeil_gruen.png
